Symbol,Company Name
SBIETFCON,Nifty India Consumption Index
MOMGF,Nifty India Manufacturing Total Return Index
SETFGOLD,Gold
SETFNIF50,Nifty 50
LICNETFN50,Nifty 50
IVZINGOLD,Gold
NIFTYBETF,Bajaj Finserv Nifty 50 ETF
GOLDCASE,Zerodha Gold ETF
BANKBETF,Bajaj Finserv Nifty Bank ETF
MNC,Kotak Nifty MNC ETF
GROWWRAIL,Nifty India Railways PSU Index
UTINIFTETF,Nifty 50
GROWWN200,Nifty 200 Index- Total Return Index
GOLDSHARE,Gold
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF
INFRABEES,Nifty Infra
HDFCVALUE,HDFC NIFTY50 Value 20 ETF
MOREALTY,Motilal Oswal Nifty Realty ETF
NIFTY1,Nifty 50
MOINFRA,BSE India Infrastructure Total Return Index
GOLDETF,Mirae Asset Gold ETF
HDFCGOLD,Gold
GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index
HDFCPVTBAN,HDFC NIFTY Private Bank ETF
TECH,Nifty IT TRI Index
SETFNIFBK,Nifty Bank
TOP10ADD,Nifty Top 10 Equal Weight Index
TATAGOLD,Tata Gold Exchange Traded Fund
GOLDBEES,Gold
QGOLDHALF,Gold
UTISENSETF,SENSEX
SDL26BEES,Nifty SDL Apr 2026 Top 20 Equal Weight Index
HDFCSENSEX,SENSEX
MID150,Nifty Midcap 150 Index
ABSLBANETF,Nifty Bank
AXISCETF,NIFTY India Consumption Index
GROWWGOLD,Commodity
CONS,Kotak Nifty India Consumption ETF
AXISGOLD,Gold
BANKIETF,Nifty Bank
SBIBPB,BSE PSU Bank Index TRI
BANKBEES,Nifty Bank
ECAPINSURE,BSE Capital Markets & Insurance Total Return Index
DIVOPPBEES,Nifty Dividend Opportunities 50 TRI
BBNPPGOLD,Baroda BNP Paribas Gold ETF
ICICIB22,S&P BSE BHARAT 22 index
COMMOIETF,ICICI Prudential Nifty Commodities ETF
EGOLD,Edelweiss Gold ETF
SBIETFQLTY,Nifty 200 Quality 30 Index
QNIFTY,Nifty 50
AXISBNKETF,Nifty Bank
BSLNIFTY,Nifty 50
OILIETF,Nifty Oil & Gas Index
